gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass
LOC118262319								7.253854	4.7694855		4.020853		4.806534	
LOC118262320								3.4724503	1.1877375		0.21671079		1.4743083	
LOC118262321								0.38515738	0.0		0.0		0.22083233	
LOC118262322								3.4037616	3.2634327		0.6631976		2.6022577	
LOC118262323								5.4014497	3.8840778		2.7174957		4.172329	
LOC118262324								0.80261576	5.8371677		6.142814		1.4751055	
LOC118262325								0.0	8.144263		0.25303608		0.008946089	
LOC118262326								0.07743756	0.22546194		0.11605248		0.013997648	
LOC118262327								0.068181776	2.2188587		0.0		0.013991175	
LOC118262328								0.0	0.15274733		0.0		0.005706606	
LOC118262329								7.2861342	4.2169294		2.6459165		3.3415797	
LOC118262330								1.981712	3.38934		0.40553534		1.6382018	
LOC118262331								4.458178	5.409226		2.1351147		4.0121245	
